Country,Refugees,Asylum-seekers,Returned refugees,IDPs,Returned IDPs,Stateless,Others of concern,Total
Afghanistan,225714,101,46148,947872,300,0,201284,1421419
Albania,154,501,0,0,0,7443,0,8098
Algeria,94144,5892,0,0,0,0,0,100036
Angola,15572,30086,2887,0,0,0,0,48545
Antigua and Barbuda,0,10,0,0,0,0,0,10
Argentina,3523,897,0,0,0,0,0,4420
Armenia,15690,114,0,0,0,238,0,16042
Aruba,0,2,0,0,0,0,0,2
Australia,35582,22837,0,0,0,0,0,58419
Austria,60747,30900,0,0,0,570,0,92217
Azerbaijan,1357,262,0,622892,0,3585,0,628096
Bahamas,7,19,0,0,0,0,30,56
Bahrain,277,78,0,0,0,0,0,355
Bangladesh,232975,11,0,0,0,0,0,232986
Barbados,1,0,0,0,0,0,0,1
Belarus,1369,257,0,0,0,6302,0,7928
Belgium,31115,9396,0,0,0,5267,0,45778
Belize,0,146,0,0,0,0,0,146
Benin,488,84,0,0,0,0,0,572
Bolivia (Plurinational State of),767,8,0,0,0,0,0,775
Bonaire,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,6805,11,19,84500,0,79,52437,143851
Botswana,2164,248,0,0,0,0,0,2412
Brazil,7762,17902,0,0,0,2,40336,66002
British Virgin Islands,0,0,0,0,0,0,0,0
Brunei Darussalam,0,0,0,0,0,20524,0,20524
Bulgaria,11046,7840,0,0,0,67,0,18953
Burkina Faso,34027,180,0,0,0,0,0,34207
Burundi,54126,2733,11,78948,0,1302,590,137710
Cabo Verde,0,0,0,0,0,115,0,115
Cambodia,80,33,0,0,0,0,131,244
Cameroon,302293,7835,0,81693,0,0,0,391821
Canada,149163,14481,0,0,0,0,0,163644
Cayman Islands,6,1,0,0,0,0,100,107
Central African Rep.,7906,394,1220,368859,138825,0,0,517204
Chad,420774,2749,0,0,0,0,50000,473523
Chile,1798,719,0,0,0,0,0,2517
China,301057,564,0,0,0,0,0,301621
China - Hong Kong SAR,151,9940,0,0,0,1,0,10092
China - Macao SAR,0,6,0,0,0,0,0,6
Colombia,219,56,22,6520270,0,12,0,6520579
Comoros,0,0,0,0,0,0,0,0
Congo - Republic of,61492,3248,1,0,0,0,1069,65810
Costa Rica,3475,1819,0,0,0,2613,0,7907
Côte d'Ivoire,1972,667,74,24000,0,700000,57,726770
Croatia,710,90,24,0,0,2886,13774,17484
Cuba,313,12,0,0,0,0,0,325
Curaçao ,44,41,0,0,0,0,0,85
Cyprus,5763,2339,0,0,0,0,6000,14102
Czech Rep.,3137,409,0,0,0,1502,0,5048
Dem. Rep. of the Congo,160271,1124,3230,1491769,193841,0,150771,2001006
Denmark,17785,4566,0,0,0,4984,0,27335
Djibouti,14787,2586,0,0,0,0,0,17373
Dominica,0,0,0,0,0,0,0,0
Dominican Rep.,609,752,0,0,0,133770,0,135131
Ecuador,121722,11583,0,0,0,0,0,133305
Egypt,226344,30019,0,0,0,21,0,256384
El Salvador,48,0,0,0,0,0,0,48
Equatorial Guinea,0,0,0,0,0,0,0,0
Eritrea,2944,1,1,0,0,0,21,2967
Estonia,117,117,0,0,0,86522,0,86756
Ethiopia,702467,2871,2,0,0,0,346,705686
Fiji,12,8,0,0,0,0,0,20
Finland,11798,2622,0,0,0,1928,0,16348
France,264972,53827,0,0,0,1290,0,320089
Gabon,1008,1886,0,0,0,0,0,2894
Gambia,11773,2,0,0,0,0,0,11775
Georgia,1659,587,0,265267,0,793,0,268306
Germany,250299,311551,0,0,0,11978,0,573828
Ghana,18476,2855,0,0,0,0,0,21331
Greece,8231,29157,0,0,0,214,0,37602
Grenada,0,0,0,0,0,0,0,0
Guatemala,202,73,0,0,0,0,0,275
Guinea,8704,293,0,0,0,0,0,8997
Guinea-Bissau,8684,123,0,0,0,0,0,8807
Guyana,11,1,0,0,0,0,0,12
Haiti,5,5,0,0,0,0,0,10
Honduras,23,19,0,0,0,0,0,42
Hungary,4192,24431,0,0,0,128,0,28751
Iceland,104,225,0,0,0,119,0,448
India,200383,5381,0,0,0,0,0,205764
Indonesia,5277,7911,0,0,0,0,0,13188
Iran (Islamic Rep. of),979441,42,8,0,0,0,0,979491
Iraq,288035,7420,3318,3962142,716,50000,29,4311660
Ireland,5853,4300,0,0,0,99,0,10252
Israel,38500,6591,0,0,0,88,0,45179
Italy,93715,48307,0,0,0,606,0,142628
Jamaica,15,3,0,0,0,0,0,18
Japan,2419,10705,0,0,0,631,0,13755
Jordan,664102,20693,0,0,0,0,0,684795
Kazakhstan,662,149,0,0,0,7038,0,7849
Kenya,552272,40341,1231,0,0,20000,0,613844
Kuwait,593,1040,0,0,0,93000,0,94633
Kyrgyzstan,433,168,0,0,0,13678,0,14279
Lao People's Dem. Rep.,0,0,0,0,0,0,0,0
Latvia,195,171,0,0,0,262802,0,263168
Lebanon,1172388,10851,0,0,0,0,5813,1189052
Lesotho,44,1,0,0,0,0,0,45
Liberia,38904,18,6,0,0,1,1479,40408
Libya,27948,8904,0,434869,0,0,0,471721
Liechtenstein,107,75,0,0,0,2,0,184
Lithuania,1055,54,0,0,0,3583,0,4692
Luxembourg,1192,831,0,0,0,81,0,2104
Madagascar,10,9,0,0,0,0,0,19
Malawi,8963,13669,0,0,0,0,0,22632
Malaysia,97573,54400,0,0,0,40000,80000,271973
Mali,14970,386,740,90218,41995,0,0,148309
Malta,6095,425,0,0,0,0,0,6520
Mauritania,76851,407,0,0,0,0,0,77258
Mauritius,0,0,0,0,0,0,0,0
Mexico,2158,0,0,0,0,13,55,2226
Micronesia (Federated States of),0,34,0,0,0,0,0,34
Monaco,33,0,0,0,0,0,0,33
Mongolia,11,5,0,0,0,16,0,32
Montenegro,6203,7,0,0,0,3284,10318,19812
Montserrat,0,0,0,0,0,0,0,0
Morocco,2144,2216,0,0,0,0,0,4360
Mozambique,4552,14257,0,0,0,0,7,18816
Myanmar,0,0,1,368500,8000,1090000,0,1466501
Namibia,1659,1100,5,0,0,0,1679,4443
Nauru,506,816,0,0,0,0,0,1322
Nepal,36287,57,0,0,0,0,409,36753
Netherlands,82494,8097,0,0,0,1951,0,92542
New Zealand,1349,251,0,0,0,0,0,1600
Nicaragua,361,25,2,0,0,1,2,391
Niger,82064,122,0,50000,0,0,70000,202186
Nigeria,1279,909,0,1385298,122719,0,0,1510205
Norway,47043,5885,0,0,0,1997,0,54925
Oman,122,268,0,0,0,0,0,390
Pakistan,1540854,6103,2,1556400,336606,0,0,3439965
Palau,1,0,0,0,0,0,0,1
Panama,17303,2038,0,0,0,2,0,19343
Papua New Guinea,9510,400,0,0,0,0,0,9910
Paraguay,161,39,0,0,0,0,0,200
Peru,1407,366,0,0,0,0,0,1773
Philippines,254,163,0,42171,334888,8619,68,386163
Poland,15741,2470,0,0,0,10825,0,29036
Portugal,699,641,0,0,0,14,0,1354
Qatar,133,100,0,0,0,1200,0,1433
Rep. of Korea,1313,5102,0,0,0,200,0,6615
Rep. of Moldova,389,164,0,0,0,6233,0,6786
Romania,2426,138,0,0,0,294,0,2858
Russian Federation,315313,2423,0,0,0,113474,0,431210
Rwanda,132743,253,2196,0,0,0,361,135553
Saint Kitts and Nevis,1,0,0,0,0,0,0,1
Saint Lucia,2,2,0,0,0,0,60,64
Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0,0,0
Saudi Arabia,211,93,0,0,0,70000,0,70304
Senegal,14304,2956,0,0,0,0,0,17260
Serbia and Kosovo (S/RES/1244 (1999)),35309,464,73,220227,159,3490,0,259722
Sierra Leone,1371,16,0,0,0,0,0,1387
Singapore,0,0,0,0,0,0,1,1
Sint Maarten (Dutch part),3,5,0,0,0,0,0,8
Slovakia,799,61,0,0,0,1523,148,2531
Slovenia,283,43,0,0,0,4,0,330
Solomon Islands,3,0,0,0,0,0,0,3
Somalia,3582,9320,19004,1133000,0,0,69,1164975
South Africa,114512,798080,0,0,0,0,0,912592
South Sudan,265887,632,0,1643484,148530,0,0,2058533
Spain,5798,11020,0,0,0,440,0,17258
Sri Lanka,848,461,231,50268,0,0,0,51808
State of Palestine,0,0,3,0,0,0,0,3
Sudan,356191,11448,3896,2342979,50105,0,3290,2767909
Suriname,1,0,0,0,0,0,0,1
Swaziland,539,321,0,0,0,0,4,864
Sweden,142207,56135,0,0,0,27167,0,225509
Switzerland,69390,17085,0,0,0,76,0,86551
Syrian Arab Rep.,149200,4839,0,7632500,0,160000,0,7946539
Tajikistan,1782,79,0,0,0,10051,31,11943
Thailand,110372,8166,0,0,0,506197,521,625256
The former Yugoslav Republic of Macedonia,828,43,0,0,0,717,0,1588
Timor-Leste,0,0,0,0,0,0,5,5
Togo,21877,687,0,0,0,0,0,22564
Tonga,0,0,0,0,0,0,0,0
Trinidad and Tobago,121,59,0,0,0,0,0,180
Tunisia,824,156,0,0,0,0,3,983
Turkey,1838848,145335,0,0,0,780,306,1985269
Turkmenistan,27,0,0,0,0,7144,0,7171
Turcs and Caicos Islands,4,4,0,0,0,0,0,8
Uganda,428397,38068,0,0,0,0,180000,646465
Ukraine,3232,6169,0,1382000,0,35179,0,1426580
United Arab Emirates,424,378,0,0,0,0,0,802
United Kingdom,117234,37829,0,0,0,16,0,155079
United Rep. of Tanzania,159014,1150,0,0,0,0,168019,328183
United States of America,267222,224508,0,0,0,0,0,491730
Uruguay,289,68,0,0,0,0,0,357
Uzbekistan,118,0,0,0,0,86703,0,86821
Vanuatu,0,1,0,0,0,0,0,1
Venezuela (Bolivarian Republic of),174191,704,0,0,0,0,0,174895
Viet Nam,0,0,0,0,0,11000,0,11000
Yemen,263047,9902,0,1267590,0,0,0,1540539
Zambia,25737,2606,0,0,0,0,23415,51758
Zimbabwe,6085,123,10,0,0,300000,1873,308091